MaintenanceLogID,MachineID,OperatorID,MaintenanceType,StartTime,EndTime,DescriptionOfWork,Cost,Status,MaintenanceDurationHours,IsUnplanned
1,19,1,Predictive,2025-08-08 15:41:23,2025-08-08 18:50:40,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1031.67,Completed,3.155,0
2,33,15,Corrective,2025-05-24 13:50:54,2025-05-24 22:20:08,Corrective repair performed following identified fault or performance degradation.,4968.47,InProgress,8.487,1
3,13,50,Preventive,2025-08-03 05:44:28,,Routine scheduled preventive maintenance performed per manufacturer guidelines.,279.84,Cancelled,0.0,0
4,20,38,Preventive,2023-06-12 17:47:26,2023-06-12 19:09:49,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1268.83,InProgress,1.373,0
5,13,4,Corrective,2023-08-03 07:46:57,2023-08-03 14:08:24,Corrective repair performed following identified fault or performance degradation.,2560.41,Completed,6.358,1
6,35,1,Corrective,2025-02-09 15:43:36,2025-02-10 03:07:07,Corrective repair performed following identified fault or performance degradation.,2033.89,Completed,11.392,1
7,3,29,Preventive,2024-03-18 12:43:58,2024-03-18 13:56:50,Routine scheduled preventive maintenance performed per manufacturer guidelines.,743.24,Completed,1.214,0
8,19,63,Predictive,2025-06-14 10:03:51,,Maintenance triggered by predictive analytics / sensor anomaly threshold.,546.36,Cancelled,0.0,0
9,12,18,Corrective,2024-09-15 03:42:11,2024-09-15 10:55:51,Corrective repair performed following identified fault or performance degradation.,4751.65,Completed,7.228,1
10,5,68,Emergency,2024-08-23 13:09:22,2024-08-24 00:37:26,Unplanned emergency repair following unexpected machine failure.,12063.16,Completed,11.468,1
11,19,49,Predictive,2023-10-11 13:02:29,2023-10-11 20:21:28,Maintenance triggered by predictive analytics / sensor anomaly threshold.,1183.1,Completed,7.316,0
12,10,38,Preventive,2024-05-20 11:58:21,2024-05-20 16:38:41,Routine scheduled preventive maintenance performed per manufacturer guidelines.,629.53,Completed,4.672,0
13,2,21,Corrective,2024-11-24 09:58:22,2024-11-24 14:23:57,Corrective repair performed following identified fault or performance degradation.,4209.32,Completed,4.426,1
14,16,65,Predictive,2023-12-04 17:56:04,2023-12-04 20:45:32,Maintenance triggered by predictive analytics / sensor anomaly threshold.,516.65,Completed,2.824,0
15,7,12,Preventive,2025-05-12 17:47:40,2025-05-12 22:08:49,Routine scheduled preventive maintenance performed per manufacturer guidelines.,601.47,Completed,4.352,0
16,7,29,Corrective,2025-11-14 12:08:14,2025-11-14 20:43:50,Corrective repair performed following identified fault or performance degradation.,1481.41,Completed,8.593,1
17,10,44,Emergency,2023-11-15 18:54:32,2023-11-16 13:24:51,Unplanned emergency repair following unexpected machine failure.,2080.24,Completed,18.505,1
18,25,72,Corrective,2025-06-02 19:18:39,,Corrective repair performed following identified fault or performance degradation.,2680.49,Scheduled,0.0,1
19,30,38,Preventive,2024-04-14 07:15:16,2024-04-14 11:30:02,Routine scheduled preventive maintenance performed per manufacturer guidelines.,1452.85,Completed,4.246,0
20,28,27,Emergency,2024-01-11 12:09:15,2024-01-12 12:08:40,Unplanned emergency repair following unexpected machine failure.,2295.81,Completed,23.99,1
21,4,44,Predictive,2023-02-23 05:57:14,2023-02-23 09:45:29,Maintenance triggered by predictive analytics / sensor anomaly threshold.,3295.45,Completed,3.804,0
22,29,15,Predictive,2025-06-06 12:17:26,2025-06-06 15:23:20,Maintenance triggered by predictive analytics / sensor anomaly threshold.,2042.14,Completed,3.098,0
23,7,77,Corrective,2025-12-04 17:32:04,2025-12-04 23:27:50,Corrective repair performed following identified fault or performance degradation.,5072.1,Completed,5.929,1
24,11,5,Preventive,2023-08-04 23:33:29,2023-08-05 03:35:04,Routine scheduled preventive maintenance performed per manufacturer guidelines.,265.58,Completed,4.026,0
25,33,16,Emergency,2023-05-01 15:57:32,2023-05-02 14:10:18,Unplanned emergency repair following unexpected machine failure.,11584.8,Completed,22.213,1
26,14,43,Preventive,2023-02-04 05:54:48,2023-02-04 08:22:18,Routine scheduled preventive maintenance performed per manufacturer guidelines.,266.25,Completed,2.458,0
27,3,74,Emergency,2025-09-28 16:47:32,2025-09-29 09:31:15,Unplanned emergency repair following unexpected machine failure.,3577.64,Completed,16.729,1
28,13,42,Corrective,2023-03-21 20:46:44,2023-03-22 02:53:28,Corrective repair performed following identified fault or performance degradation.,5341.43,InProgress,6.112,1
