ItemID,ItemCode,ItemName,ItemCategory,UnitOfMeasure,QuantityOnHand,ReorderLevel,UnitCost,PrimarySupplierID,WarehouseLocation,CreatedAt
1,ITM-00001,Fuselage Frame Section,SubAssembly,each,288.06,178.83,2938.87,17,WH-D-03,2024-11-25 11:46:24
2,ITM-00002,Landing Gear Unit,FinishedGood,each,169.97,445.86,194980.56,1,WH-C-02,2023-10-30 23:09:22
3,ITM-00003,Turbine Blade Blank,Component,each,1035.63,390.06,133.07,1,WH-A-08,2024-04-13 07:36:44
4,ITM-00004,Aluminum 2024-T3 Plate,RawMaterial,kg,96.41,35.09,260.02,9,WH-A-03,2023-06-12 03:54:16
5,ITM-00005,Landing Gear Strut Assembly,SubAssembly,each,353.73,216.98,1077.35,7,WH-C-03,2023-10-01 05:38:29
6,ITM-00006,Cleanroom Wipes Pack,Consumable,drum,797.39,466.25,20.28,52,WH-B-02,2023-06-27 22:32:47
7,ITM-00007,Aircraft Wing Assembly,FinishedGood,each,895.32,448.43,93140.8,52,WH-B-06,2025-10-16 05:50:29
8,ITM-00008,Flap Actuator Assembly,SubAssembly,each,144.44,129.41,6955.48,13,WH-C-10,2024-05-30 09:44:01
9,ITM-00009,Landing Gear Strut Assembly,SubAssembly,each,656.69,220.36,3032.11,18,WH-A-05,2024-03-12 07:41:09
10,ITM-00010,Landing Gear Strut Assembly,SubAssembly,each,949.91,269.02,7788.37,2,WH-A-08,2023-12-29 14:37:06
11,ITM-00011,Flap Actuator Assembly,SubAssembly,each,138.89,258.68,776.65,51,WH-C-01,2024-01-14 12:39:26
12,ITM-00012,Fuselage Barrel Section,FinishedGood,each,122.05,44.71,53325.82,46,WH-C-08,2023-10-06 22:06:26
13,ITM-00013,Copper Alloy C11000 Wire,RawMaterial,sheet,596.62,493.11,108.19,22,WH-D-10,2024-12-28 08:09:58
14,ITM-00014,Engine Mount Assembly,SubAssembly,each,373.62,196.54,4518.31,27,WH-C-01,2023-12-05 16:00:03
15,ITM-00015,Cockpit Panel Assembly,FinishedGood,each,274.09,173.97,175839.8,25,WH-B-02,2024-12-29 02:20:43
16,ITM-00016,Protective Coating Spray,Consumable,pack,930.61,265.8,39.9,14,WH-C-08,2023-11-29 17:50:01
17,ITM-00017,Protective Coating Spray,Consumable,pack,1092.58,469.63,87.98,31,WH-B-01,2023-08-23 00:04:22
18,ITM-00018,Carbon Fiber Prepreg Roll,RawMaterial,roll,123.22,143.81,269.09,20,WH-B-05,2023-09-15 04:20:48
19,ITM-00019,Hydraulic Fitting,Component,each,57.29,64.69,225.6,50,WH-A-05,2024-10-31 08:16:48
20,ITM-00020,Engine Nacelle,FinishedGood,each,792.9,368.46,167667.28,10,WH-A-01,2024-03-13 14:52:38
21,ITM-00021,Kevlar Fabric Roll,RawMaterial,sheet,378.01,97.58,360.94,4,WH-D-06,2024-07-21 03:55:46
22,ITM-00022,Hex Head Bolt NAS1351,Component,box,9.38,22.43,139.44,36,WH-D-09,2024-08-04 14:08:45
23,ITM-00023,Control Surface Hinge Assembly,SubAssembly,each,1142.66,361.85,6098.69,54,WH-D-06,2024-07-06 17:34:12
24,ITM-00024,Empennage Assembly,FinishedGood,each,1092.65,335.65,80996.54,18,WH-D-04,2025-07-08 15:35:48
25,ITM-00025,Cockpit Panel Assembly,FinishedGood,each,600.26,487.05,202806.6,18,WH-C-02,2023-11-09 20:56:08
26,ITM-00026,Fuselage Frame Section,SubAssembly,each,61.8,296.91,5918.39,46,WH-B-04,2025-01-29 21:00:03
27,ITM-00027,Kevlar Fabric Roll,RawMaterial,bar,790.86,329.83,83.19,54,WH-C-07,2023-03-10 04:20:34
28,ITM-00028,Fuselage Barrel Section,FinishedGood,each,90.4,27.42,241632.59,1,WH-C-03,2024-02-21 12:24:48
29,ITM-00029,Control Surface Hinge Assembly,SubAssembly,each,622.82,161.34,2876.92,48,WH-D-05,2024-04-03 19:52:45
30,ITM-00030,Cutting Fluid Drum,Consumable,spool,1083.03,469.35,99.03,22,WH-C-06,2023-02-01 18:46:20
31,ITM-00031,Fuel Line Coupling,Component,each,227.03,87.24,219.96,38,WH-D-07,2025-09-20 02:05:25
32,ITM-00032,Aluminum 7075-T6 Billet,RawMaterial,bar,80.01,192.56,128.03,25,WH-C-01,2023-02-25 01:28:48
33,ITM-00033,Fuel Line Coupling,Component,box,965.91,265.44,200.58,54,WH-C-07,2023-11-01 16:35:01
34,ITM-00034,Control Surface Hinge Assembly,SubAssembly,each,1452.09,447.2,1204.86,23,WH-B-05,2023-02-27 00:48:35
35,ITM-00035,Titanium Ti-6Al-4V Sheet,RawMaterial,kg,389.12,243.49,223.92,10,WH-B-06,2023-01-23 07:35:12
36,ITM-00036,Fuel Line Coupling,Component,each,686.12,414.85,36.13,50,WH-C-04,2025-02-04 21:56:21
37,ITM-00037,Wiring Harness Clip,Component,each,475.71,318.99,17.66,38,WH-A-02,2023-12-07 14:06:10
38,ITM-00038,Fuselage Frame Section,SubAssembly,each,1159.01,368.52,2922.17,45,WH-B-06,2023-03-25 05:11:14
39,ITM-00039,Carbon Fiber Prepreg Roll,RawMaterial,kg,622.41,230.71,45.21,35,WH-C-08,2023-02-14 23:17:48
40,ITM-00040,Wing Rib Sub-Assembly,SubAssembly,each,81.77,216.3,2376.82,28,WH-C-04,2024-06-20 18:30:02
41,ITM-00041,Cockpit Panel Assembly,FinishedGood,each,1078.51,336.89,147501.43,18,WH-D-10,2025-11-23 04:38:58
42,ITM-00042,Cleanroom Wipes Pack,Consumable,spool,706.98,221.41,13.38,55,WH-B-06,2023-10-21 21:26:05
43,ITM-00043,Carbon Fiber Prepreg Roll,RawMaterial,bar,100.74,42.08,30.68,25,WH-C-02,2024-10-30 07:31:01
44,ITM-00044,Magnesium AZ31B Sheet,RawMaterial,roll,418.88,255.98,197.29,22,WH-B-08,2025-05-23 15:02:03
45,ITM-00045,Welding Filler Wire Spool,Consumable,pack,828.3,324.84,85.94,16,WH-C-07,2023-07-29 04:57:46
46,ITM-00046,Fuselage Barrel Section,FinishedGood,each,987.57,336.17,26097.6,51,WH-A-02,2024-06-21 10:47:04
47,ITM-00047,Carbon Fiber Prepreg Roll,RawMaterial,sheet,815.33,471.31,236.56,24,WH-D-01,2024-12-28 00:52:09
48,ITM-00048,Protective Coating Spray,Consumable,pack,1527.92,471.9,8.8,45,WH-C-10,2023-12-29 05:11:43
49,ITM-00049,Landing Gear Strut Assembly,SubAssembly,each,216.31,68.37,5622.55,48,WH-D-05,2023-12-12 12:35:59
50,ITM-00050,Avionics Connector,Component,each,778.52,425.54,204.54,49,WH-D-04,2024-10-07 14:20:37
51,ITM-00051,Abrasive Grinding Disc,Consumable,each,607.97,321.89,19.39,20,WH-A-01,2024-01-31 03:57:16
52,ITM-00052,Cutting Fluid Drum,Consumable,pack,18.66,380.3,78.09,9,WH-D-02,2023-11-16 21:21:03
53,ITM-00053,Titanium Ti-6Al-4V Sheet,RawMaterial,roll,426.19,183.59,373.34,4,WH-B-07,2023-07-21 21:04:38
54,ITM-00054,Aircraft Wing Assembly,FinishedGood,each,84.95,69.5,93611.41,4,WH-A-10,2024-11-20 05:49:59
55,ITM-00055,Wiring Harness Clip,Component,box,46.2,206.82,226.82,27,WH-D-09,2024-09-03 02:09:33
56,ITM-00056,Protective Coating Spray,Consumable,drum,1019.8,476.29,34.21,20,WH-D-08,2025-09-21 19:29:42
